M + R -> Pn; 2.2e+04
M + Pn -> Pn; 2.2e+04
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 6
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 6
CuII + Pn -> CuI + PnX; 1e+08
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -22000*y_1*y_2 - 22000*y_1*y_5
Pn:,dy_2/dt = 22000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 6*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -22000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 6*y_6*y_9
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 6*y_6*y_8 - 6*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 6*y_6*y_8 + 6*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 6*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 6*y_6*y_9
M1_Pn:,dy_10/dt = 22000*y_1*y_2 + 22000*y_1*y_5 - 220000000.0*y_10*y_2 - 100000000.0*y_10*y_5 - 100000000.0*y_10*y_7 + 6*y_14*y_6
M1_PnD:,dy_11/dt = 20000000.0*y_10*y_2 + 100000000.0*y_10*y_5
M1_PnDPn:,dy_12/dt = 200000000.0*y_10*y_2
M2_total:,dy_13/dt = 44000*y_1*y_10 + 22000*y_1*y_2 + 22000*y_1*y_5 + 200000000.0*y_10**2
M1_PnX:,dy_14/dt = 100000000.0*y_10*y_7 - 6*y_14*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
35.564803062231285,2.2384031964603914e-07,5.492195863914921,8.042289883624699e-10,3.1168082215938873e-09,1.7634141446612827e-09,1.0104121108440883e-09,0.0027497677014027403,0.0025002322985972596,0.004787663298578095,0.02271210440282466,1.3919377884518173e-09,5.035623151003795e-09,5.7291138020583945e-09,0.017567553988777164,0.007804123928400439,0.0014189338336507908,0.0014199414735587216,140.3309372360484,1.3809747728528314,0.0008381234769343839
42.91934260128776,2.605399683762173e-07,5.490583568549814,8.432681533403897e-10,3.816882346886536e-09,2.2627183560370475e-09,9.713186910870548e-10,0.0027497293031257175,0.0025002706968742824,0.005667937747218691,0.02183179155590704,1.4980147222266832e-09,6.2633980229462705e-09,7.480721902962566e-09,0.021747593743502096,0.009416416208046558,0.0017120784454883035,0.0017135457267630583,143.0254934958571,1.390157846273193,0.0009777537724915562
51.7947467923121,3.01205649234632e-07,5.488638554243674,8.883637566956636e-10,4.678949382741052e-09,2.9284826410831293e-09,9.261625134218492e-10,0.002749686443909827,0.0025003135560901727,0.006684694739405743,0.0208149917045041,1.6259793188653436e-09,7.818192808847055e-09,9.882709908948971e-09,0.027041208341892668,0.011361426429439724,0.0020657174102410958,0.002067853947278847,146.32016272785532,1.4003642892075023,0.001133605686907416
62.505519252739695,3.454845053411539e-07,5.486292325134392,9.399877218149974e-10,5.739417336980349e-09,3.824331128297269e-09,8.744719125422046e-10,0.0027496393129554275,0.0025003606870445724,0.007848528060367071,0.019651111252588373,1.7803369593905095e-09,9.793164034603289e-09,1.3220365522247872e-08,0.033791982279883295,0.013707650071737,0.0024923045210196323,0.0024954154819819903,150.3584036112873,1.4114804776516348,0.0013049912179444684
75.43120063354615,3.9269309909694924e-07,5.483462356945776,9.984460717629484e-10,7.040937546089595e-09,5.039763260508098e-09,8.159415051592409e-10,0.0027495883720492563,0.0025004116279507436,0.009166272779086897,0.018333315592962373,1.9665158103493933e-09,1.2307669964576544e-08,1.791835379329594e-08,0.04246595513009646,0.01653761086167985,0.0030068441916770313,0.003011373829896545,155.32198237732564,1.4232692471838329,0.001490231138778382
91.02981779915217,4.417685336444256e-07,5.480049255830583,1.0637817512709082e-09,8.63206173259905e-09,6.700214253040744e-09,7.50529408333588e-10,0.0027495343846649545,0.0025004656153350454,0.010638811200783981,0.016860723183880988,2.1910538130297765e-09,1.551341472707817e-08,2.4612169230055664e-08,0.0537001765699344,0.019950701852774456,0.0036274080308031516,0.003634003028643172,161.44256027374854,1.435328424732695,0.0016865491777567497
109.85411419875584,4.912619599781475e-07,5.4759333562219314,1.1356597888883285e-09,1.0566017498761471e-08,8.980117424010103e-09,6.785720505181946e-10,0.002749478397555832,0.002500521602444168,0.012258483344593382,0.015240995052962463,2.4618225842505027e-09,1.9601358715668827e-08,3.4255798073566004e-08,0.06837173514989058,0.024066587459084427,0.004375753414194283,0.004385355042975917,169.01714584372462,1.4470482622916445,0.0018901389539088336
132.57113655901082,5.393953622515077e-07,5.4709706539143905,1.2132447311445642e-09,1.2898502789663452e-08,1.2118915940744982e-08,6.009066147103545e-10,0.0027494216541517286,0.0025005783458482713,0.014006328439986192,0.013493093214165551,2.788295006514007e-09,2.480952028191458e-08,4.828229040076748e-08,0.0876961291198325,0.02902927020549944,0.005278062924656268,0.005292041105615006,178.42875346767175,1.4575754253455973,0.0020964788979005856
159.98587196060572,5.84214990344247e-07,5.464987954586948,1.2950916356771493e-09,1.5684440654715547e-08,1.643948961382105e-08,5.189797809263851e-10,0.0027493654075183556,0.0025006345924816443,0.015849641239965056,0.01164972416755331,3.181864212445909e-09,3.143214656700725e-08,6.884067451626851e-08,0.11336769913236579,0.03501194195836165,0.0063658264387367325,0.0063861747135514,190.17342970510552,1.4658000030660376,0.0023010124008240166
193.06977288832496,6.238476369950794e-07,5.457777101870774,1.3790836094722792e-09,1.8974332196181686e-08,2.2367153266200737e-08,4.349097774770874e-10,0.002749310629730887,0.002500689370269113,0.01774059021607914,0.009758720413651757,3.6562226565123e-09,3.983211867045125e-08,9.914019564146045e-08,0.14776034110966066,0.04222275550068418,0.0076768905689501565,0.007706509578660858,204.89513045704328,1.4703845011778058,0.002500204638995137
232.99518105153717,6.568120438650177e-07,5.449088133485729,1.4624590508388427e-09,2.2811950637584255e-08,3.04456341582487e-08,3.514586579957748e-10,0.0027492576708194696,0.0025007423291805303,0.01961687150322923,0.007882386167590249,4.227810952530749e-09,5.046131050276789e-08,1.439416360954704e-07,0.19421453575490447,0.05091166788350823,0.009256703002594756,0.009299812518728287,223.42963104044858,1.4698555318758235,0.002692782773887634
281.1768697974228,6.823255142572175e-07,5.438621199282692,1.54197702935352e-09,2.7235448400900624e-08,4.134587268911303e-08,2.7186646251949476e-10,0.0027492059334484685,0.0025007940665515314,0.021405486048966964,0.006093719884481512,4.916346947605446e-09,6.389804206998188e-08,2.1024734010223823e-07,0.2574477907485612,0.0613785216555735,0.011159781948601444,0.011222519510189,246.8565129178744,1.462779579067715,0.0028809189383139787
326.53061224489795,6.973396815325133e-07,5.428787334865358,1.6002238323043277e-09,3.119912834448709e-08,5.255885121620577e-08,2.135600490049404e-10,0.0027491645297038057,0.002500835470296194,0.022715026125364326,0.004784138404339486,5.563221134724258e-09,7.709968897574992e-08,2.8500562676564494e-07,0.3240985187330937,0.07121229746609917,0.01294775729720757,0.013032310146206583,269.8951464920739,1.4517018813617593,0.00303147822657968
339.3221771895326,7.004911661684348e-07,5.426017065407117,1.6142529688891792e-09,3.2284526754781016e-08,5.586353553417472e-08,1.995152667726478e-10,0.002749153683467769,0.0025008463165322307,0.023030351519376067,0.004468802164091708,5.745446535679366e-09,8.091781646205834e-08,3.0825695147359215e-07,0.3441411560009011,0.07398253967266302,0.013451442653251468,0.013542732889211744,276.55531047790504,1.4480240156774142,0.00307091914178751
