M + R -> Pn; 33700
M + Pn -> Pn; 33700
2 R -> 2 D; 2e+08
Pn + R -> D + PnD; 2e+08
2 Pn -> 2 PnD; 2e+07
2 Pn -> PnDPn; 1.8e+08
TI -> 2 R; 9.1e-06
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 200000000.0*y_2*y_5 + 400000000.0*y_5**2
M:,dy_1/dt = -33700*y_1*y_2 - 33700*y_1*y_5
Pn:,dy_2/dt = 33700*y_1*y_5 - 400000000.0*y_2**2 - 200000000.0*y_2*y_5
PnD:,dy_3/dt = 40000000.0*y_2**2 + 200000000.0*y_2*y_5
PnDPn:,dy_4/dt = 180000000.0*y_2**2
R:,dy_5/dt = -33700*y_1*y_5 - 200000000.0*y_2*y_5 - 400000000.0*y_5**2 + 1.456e-5*y_6
TI:,dy_6/dt = -9.1e-6*y_6
M1_Pn:,dy_7/dt = 33700*y_1*y_2 + 33700*y_1*y_5 - 400000000.0*y_2*y_7 - 200000000.0*y_5*y_7
M1_PnD:,dy_8/dt = 40000000.0*y_2*y_7 + 200000000.0*y_5*y_7
M1_PnDPn:,dy_9/dt = 360000000.0*y_2*y_7
M2_total:,dy_10/dt = 33700*y_1*y_2 + 33700*y_1*y_5 + 67400*y_1*y_7 + 360000000.0*y_7**2
Tmol% does not apply to conventional radical polymerization.
time (s),D,M,Pn,PnD,PnDPn,R,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1.0,1.0138546484470875e-10,4.990135045071359,6.032781440767861e-08,1.3964677179274046e-07,6.279543731116337e-07,8.657331563419464e-12,0.09999909000414045,0.0004204844710423586,0.0009450596454747955,0.008499410812122948,190.58965362402617,0.0019729909857282733,0.00197493989632044,1527173.628827501,1.6214448574246914,100.0
1.1513953993264474,1.1720651670378319e-10,4.988599127886684,6.032777061214385e-08,1.617023830280004e-07,7.271334493677847e-07,8.65998490818367e-12,0.09999895223567566,0.00042035490597891993,0.0010987635221075835,0.009881753685228737,221.6289400327063,0.0022801744226631725,0.002282777978823111,1539513.0767055838,1.6184205990227383,100.0
1.3257113655901092,1.3542879652283103e-10,4.9868312666834305,6.032772110631025e-08,1.8709707942016476e-07,8.413276064128357e-07,8.66304096206908e-12,0.0999987936099342,0.00042020597335846164,0.001275678755846412,0.011472848587363442,257.34376716530517,0.0026337466633139075,0.0026372210758797182,1550248.2827381715,1.6156778711749198,100.0
1.5264179671752334,1.5641779413436838e-10,4.9847965370452725,6.032766522129135e-08,2.1633637239240203e-07,9.728100014225017e-07,8.666561021173563e-12,0.09999861096929695,0.00042003466805317345,0.0014793003625183626,0.013304127924154877,298.4343089699443,0.003040692590945504,0.003045324889308665,1559558.491035585,1.6132101509214878,100.0
1.7575106248547918,1.8059497117151443e-10,4.982454789163593,6.03275997851626e-08,2.5000230223192855e-07,1.1241979196612883e-06,8.670615768597328e-12,0.09999840067812063,0.0004198373523523044,0.0017136463046561318,0.015411727179397169,345.70425656909055,0.0035090421672814287,0.0035152132964785363,1567602.6905293975,1.6110036324540624,100.0
2.023589647725157,2.0844644340568275e-10,4.979759876877703,6.032752430283952e-08,2.887650225190802e-07,1.2985048653544914e-06,8.675286730484403e-12,0.09999815855037542,0.0004196102573130423,0.0019833345894104825,0.017837178275572182,400.0756692719141,0.0040480246244593236,0.004056240054476636,1574520.912337409,1.6090403739628265,100.0
2.329951810515372,2.405330462620633e-10,4.976658776476451,6.03274376406593e-08,3.333961389452372e-07,1.499200541087691e-06,8.680667964124667e-12,0.09999787976632966,0.0004193489994607736,0.002293671496737689,0.020628203027349266,462.60584305741475,0.004668244704709857,0.004679174989115953,1580435.5764086605,1.6073005131200564,100.0
2.6826957952797255,2.77502014937947e-10,4.973090580715082,6.032733768527156e-08,3.847840667301638e-07,1.7302799036402002e-06,8.686868016800984e-12,0.0999975587766246,0.0004190483505571853,0.0026507522698180188,0.02383961866454089,534.5063828219984,0.005381883856983549,0.005396418366057254,1585452.8134667436,1.6057636903635562,100.0
3.088843596477481,3.201005535774556e-10,4.968985351923879,6.032722260411807e-08,4.4395171226895484e-07,1.996342670353727e-06,8.694012201424183e-12,0.09999718919183112,0.00041870243776608024,0.0030615758636819974,0.0275343697746713,617.1646991580895,0.006202929615224129,0.006222247710417402,1589663.7202556068,1.604409929533649,100.0
