M + R -> Pn; 663
M + Pn -> Pn; 663
2 R -> 2 D; 2e+08
Pn + R -> D + PnD; 2e+08
2 Pn -> 2 PnD; 0
2 Pn -> PnDPn; 2e+08
3 M -> 2 R; 2.25e-12
TI -> 2 R; 4.17e-05
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 200000000.0*y_2*y_5 + 400000000.0*y_5**2
M:,dy_1/dt = -6.75e-12*y_1**3 - 663*y_1*y_2 - 663*y_1*y_5
Pn:,dy_2/dt = 663*y_1*y_5 - 400000000.0*y_2**2 - 200000000.0*y_2*y_5
PnD:,dy_3/dt = 200000000.0*y_2*y_5
PnDPn:,dy_4/dt = 200000000.0*y_2**2
R:,dy_5/dt = 4.5e-12*y_1**3 - 663*y_1*y_5 - 200000000.0*y_2*y_5 - 400000000.0*y_5**2 + 6.672e-5*y_6
TI:,dy_6/dt = -4.17e-5*y_6
M1_Pn:,dy_7/dt = 663*y_1*y_2 + 663*y_1*y_5 - 400000000.0*y_2*y_7 - 200000000.0*y_5*y_7
M1_PnD:,dy_8/dt = 200000000.0*y_5*y_7
M1_PnDPn:,dy_9/dt = 400000000.0*y_2*y_7
M2_total:,dy_10/dt = 663*y_1*y_2 + 663*y_1*y_5 + 1326*y_1*y_7 + 400000000.0*y_7**2
Tmol% does not apply to conventional radical polymerization.
time (s),D,M,Pn,PnD,PnDPn,R,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
132.57113655901082,5.276183243736439e-12,4.999484510479832,1.185587385370836e-09,5.274657186031834e-12,3.668177530916254e-08,1.6963613325869605e-13,0.0,8.287252044584927e-06,3.634862010798706e-08,0.0005070540797172272,10.620846820823557,0.00010309790403368879,0.00010310321898794877,1417599.5462620195,1.5137181331276197,100.0
159.98587196060572,6.379179064179247e-12,4.999376739952155,1.1855490519378429e-09,6.377337460927803e-12,4.43884522111233e-08,1.6962882000411628e-13,0.0,8.287073502465792e-06,4.405639329438088e-08,0.0006147939548804389,12.880160672668104,0.0001246520095689263,0.00012465977927642204,1424133.277872222,1.5113346223301254,100.0
193.06977288832496,7.710155514421601e-12,4.999246691005136,1.1855027941576613e-09,7.70793314934644e-12,5.3688149693997766e-08,1.6961999515691705e-13,0.0,8.286857921394062e-06,5.3357413663858124e-08,0.0007448059134461042,15.606554318718905,0.00015066179897278432,0.00015067314960165638,1429577.022376811,1.5093348166829779,100.0
232.99518105153717,9.31620677865576e-12,4.999089760152946,1.1854469755436944e-09,9.313524965753508e-12,6.490999004876515e-08,1.6960934646594543e-13,0.0,8.28659781816269e-06,6.45808503051591e-08,0.0009016921320476885,18.896557257142497,0.0001820479694108812,0.00018206454215379672,1434109.9434306344,1.5076608989085778,100.0
281.1768697974228,1.1254142659069356e-11,4.998900393555391,1.1853796196896268e-09,1.1250906464727395e-11,7.845101724242447e-08,1.6959649726203372e-13,0.0,8.286283868704616e-06,7.812380365746755e-08,0.0010910048718057062,22.866633542998997,0.0002199212889218316,0.00021994547515462881,1437883.156810863,1.5062623931354375,100.0
339.3221771895326,1.3592487365487923e-11,4.998671891215318,1.1852983455375377e-09,1.3588582259526076e-11,9.479018064328833e-08,1.6958099320530554e-13,0.0,8.285905049468322e-06,9.446529119138039e-08,0.0013194422248267953,27.65729193283787,0.0002656217569363406,0.00026565704064335937,1441023.7897369263,1.5050957458598024,100.0
409.49150623804235,1.641388642198601e-11,4.998396171043931,1.1852002799515864e-09,1.640917424124796e-11,1.1450517947857492e-07,1.6956228632658654e-13,0.0,8.28544799021367e-06,1.1418309427538334e-07,0.0015950839821584205,33.438040036204015,0.00032076579121387283,0.0003208172475640934,1443638.591264367,1.5041237006048538,100.0
494.1713361323833,1.9818004900396767e-11,4.9980634845917695,1.185081956754356e-09,1.981231898480563e-11,1.3829275189486085e-07,1.695397158110121e-13,0.0,8.284896501251477e-06,1.3797405011687327e-07,0.001927675822101658,40.41335523642686,0.0003873030816460954,0.00038737810285579557,1445817.0822506049,1.5033145960448444,100.0
596.3623316594643,2.392501565932822e-11,4.997662074658057,1.1849391966156478e-09,2.3918154992299415e-11,1.669931032681123e-07,1.6951248487169012e-13,0.0,8.284231090631738e-06,1.666784835339574e-07,0.002328971603632518,48.829879129744945,0.0004675850683886651,0.00046769442037575867,1447634.2812311405,1.50264166251787,100.0
719.6856730011514,2.8879790691011435e-11,4.997177763321546,1.184766960482203e-09,2.887151284440317e-11,2.0161927893767066e-07,1.6947963295735639e-13,0.0,8.283428254986622e-06,2.0130958385682398e-07,0.002813145218747086,58.98507957054764,0.0005644473356907654,0.0005646066960580611,1449153.0951328187,1.5020823512648065,100.0
