M + R -> Pn; 663
M + Pn -> Pn; 663
2 R -> 2 D; 2e+08
Pn + R -> D + PnD; 2e+08
2 Pn -> 2 PnD; 0
2 Pn -> PnDPn; 2e+08
3 M -> 2 R; 2.25e-12
TI -> 2 R; 4.17e-05
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 200000000.0*y_2*y_5 + 400000000.0*y_5**2
M:,dy_1/dt = -6.75e-12*y_1**3 - 663*y_1*y_2 - 663*y_1*y_5
Pn:,dy_2/dt = 663*y_1*y_5 - 400000000.0*y_2**2 - 200000000.0*y_2*y_5
PnD:,dy_3/dt = 200000000.0*y_2*y_5
PnDPn:,dy_4/dt = 200000000.0*y_2**2
R:,dy_5/dt = 4.5e-12*y_1**3 - 663*y_1*y_5 - 200000000.0*y_2*y_5 - 400000000.0*y_5**2 + 6.672e-5*y_6
TI:,dy_6/dt = -4.17e-5*y_6
M1_Pn:,dy_7/dt = 663*y_1*y_2 + 663*y_1*y_5 - 400000000.0*y_2*y_7 - 200000000.0*y_5*y_7
M1_PnD:,dy_8/dt = 200000000.0*y_5*y_7
M1_PnDPn:,dy_9/dt = 400000000.0*y_2*y_7
M2_total:,dy_10/dt = 663*y_1*y_2 + 663*y_1*y_5 + 1326*y_1*y_7 + 400000000.0*y_7**2
Tmol% does not apply to conventional radical polymerization.
time (s),D,M,Pn,PnD,PnDPn,R,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1.0,5.497821538406453e-10,4.999909778666947,2.885237486318442e-08,5.457328891842206e-10,1.5205350794005893e-07,1.0062439758710225e-10,0.004999791504347167,8.301627897816924e-06,1.44380233162253e-07,8.177448118625904e-05,0.07011315496910639,1.804426661067282e-05,1.8044429410300912e-05,51785.44044179605,1.5629384316488433,100.0
1.2067926406393286,6.706934075984687e-10,4.999889931142241,2.885225048734814e-08,6.658066143674109e-10,1.864826602238918e-07,1.0062392923823215e-10,0.004999748390065399,8.30174026879791e-06,1.789292006801656e-07,0.00010158717008315858,0.08721544589820311,2.201377155177653e-05,2.2014013858475338e-05,53072.377154687274,1.554961640082059,100.0
1.4563484775012439,8.166067739475518e-10,4.999865979514393,2.885210007423622e-08,8.107092677949764e-10,2.2803111245500314e-07,1.0062336351875457e-10,0.004999696360562509,8.301716512289522e-06,2.2062252064256063e-07,0.00012549691782106422,0.10785436685386407,2.6804097121413406e-05,2.6804456357595318e-05,54165.94026990616,1.54738910342782,100.0
1.7575106248547918,9.926918449785982e-10,4.999837075185065,2.8851918775649205e-08,9.855746330734045e-10,2.7817090270988164e-07,1.006226808327303e-10,0.004999633572462292,8.301668821868169e-06,2.709371654467606e-07,0.00015435072611185777,0.13276102325765915,3.258496298705893e-05,3.2585493888411634e-05,55091.41857606006,1.5404892556848755,100.0
2.120950887920191,1.2051869506471856e-09,4.999802194117528,2.8851700091543416e-08,1.1965978287832606e-09,3.386783936630661e-07,1.0062185697278054e-10,0.004999557801294994,8.301611412716008e-06,3.3165567048215546e-07,0.00018917082593466908,0.16281780924763056,3.956117649437374e-05,3.956195905833983e-05,55871.95917653227,1.5343628614664473,100.0
2.5595479226995357,1.461620007622703e-09,4.999760100578025,2.8851435032532e-08,1.4512546280493188e-09,4.1169716736010844e-07,1.006208627536351e-10,0.004999466362737019,8.30153928742728e-06,4.049290769579526e-07,0.00023119079413832735,0.19908956209562872,4.797988439495526e-05,4.7981035466353995e-05,56528.35493452071,1.529016658709242,100.0
3.088843596477481,1.771075039262914e-09,4.999709303389548,2.8851117701603772e-08,1.758566131484481e-09,4.998139056598358e-07,1.006196629247295e-10,0.004999356017585035,8.30145798645196e-06,4.933531014481702e-07,0.00028189919336948964,0.24286122657529863,5.813932209033368e-05,5.814101224632448e-05,57079.00737877185,1.524407505929746,100.0
3.72759372031494,2.144513638526618e-09,4.999648003150316,2.8850732946645768e-08,2.129418004510508e-09,6.061499468424821e-07,1.0061821499515091e-10,0.004999222857110685,8.301354928363578e-06,6.000599855974842e-07,0.00034309228993356725,0.29568337033536113,7.039936993677998e-05,7.040184808881134e-05,57540.00952322335,1.5204686432419559,100.0
4.498432668969445,2.5951628049378646e-09,4.999574028561527,2.8850269228884207e-08,2.5769456279056346e-09,7.34471725172154e-07,1.0061646764678226e-10,0.004999062164753019,8.301232836942407e-06,7.28829274829954e-07,0.00041693758128167545,0.35942701708170843,8.519428769453441e-05,8.51979169341005e-05,57925.29927675865,1.5171245151431907,100.0
