M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
CuII + Reduc -> CuI + ReducX; 0.01
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.01*y_10*y_7 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.01*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 300*y_6*y_9
Reduc:,dy_10/dt = -0.01*y_10*y_7
ReducX:,dy_11/dt = 0.01*y_10*y_7
M1_Pn:,dy_12/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_12*y_2 - 100000000.0*y_12*y_5 - 100000000.0*y_12*y_7 + 300*y_16*y_6
M1_PnD:,dy_13/dt = 20000000.0*y_12*y_2 + 100000000.0*y_12*y_5
M1_PnDPn:,dy_14/dt = 200000000.0*y_12*y_2
M2_total:,dy_15/dt = 32000*y_1*y_12 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_12**2
M1_PnX:,dy_16/dt = 100000000.0*y_12*y_7 - 300*y_16*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Reduc,ReducX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
5.428675439323859,2.0943861329196674e-13,5.499997058454703,7.579151223154714e-12,8.573947596667515e-15,1.0393858941821278e-14,4.735964512295498e-12,8.208880885631939e-08,0.000549917911191144,1.1312677445415983e-06,0.027498868719701555,0.0027499178986372273,8.210136277233366e-08,1.9708366450788702e-11,2.229434625132253e-14,5.4053115616919074e-14,1.2355683227797644e-05,2.941525509124555e-06,5.34826417658058e-07,5.348265605712011e-07,223.8514578010838,1.6154146075757605,8.683646500810065e-10
6.551285568595508,3.680806931016488e-13,5.4999957160484785,9.146786530805969e-12,1.506916371756115e-14,1.826833336471249e-14,5.715176130764265e-12,9.90622038604443e-08,0.0005499009377961399,1.6474986096724421e-06,0.027498352486108688,0.00274990092251449,9.907748550962949e-08,2.378565346030934e-11,3.9184496005912e-14,9.500665739417814e-14,1.7994839185082214e-05,4.283927597991576e-06,7.789002766403738e-07,7.789005800038424e-07,223.85653577601312,1.6154233326124885,1.5261328129041272e-09
7.906043210907698,6.468785233066569e-13,5.4999937610133305,1.1038769581622375e-11,2.648484444339077e-14,3.210887396501825e-14,6.896777697206353e-12,1.195446351251556e-07,0.0005498804553648751,2.3992871138504425e-06,0.02749760069421303,0.0027498804366917463,1.1956330825355013e-07,2.8707083190108028e-11,6.887110628035126e-14,1.6699163054877448e-13,2.6207963398252577e-05,6.238957722162025e-06,1.1343612126392022e-06,1.1343618560999635e-06,223.86311124988788,1.6154346291823296,2.682113147927579e-09
9.54095476349994,1.1368261296439284e-12,5.499990913760768,1.3322273227338443e-11,4.654856754982849e-14,5.6436161750472044e-14,8.322548594540456e-12,1.442612880697623e-07,0.0005498557387119305,3.4941049912768783e-06,0.027496505872067662,0.0027498557157708613,1.4428422913860488e-07,3.4647826894948816e-11,1.2105006971497847e-13,2.9352573948233276e-13,3.8170169102922544e-05,9.086204165996181e-06,1.6520434967501076e-06,1.6520448614147844e-06,223.87173021727318,1.615449435269896,4.713625529798912e-09
11.513953993264469,1.997810511522624e-12,5.499986767102087,1.60784231357243e-11,8.181202624301678e-14,9.919731731913398e-14,1.0042854713082689e-11,1.7408707973642366e-07,0.0005498259129202639,5.088441200530434e-06,0.027494911530400182,0.002749825884520968,1.741154790314451e-07,4.181967675843462e-11,2.1276567570159528e-13,5.159579937838706e-13,5.559329876141065e-05,1.3232855361193058e-05,2.405981438807265e-06,2.4059843332889748e-06,223.88320828692727,1.6154691490621158,8.283698808741487e-09
13.894954943731374,3.510739559783141e-12,5.499980728011821,1.940522371833818e-11,1.4379050627086367e-13,1.7436366061339178e-13,1.211838492804846e-11,2.100774994939768e-07,0.0005497899225005062,7.41014284252031e-06,0.02749258982163062,0.00274978988697364,2.1011302636001098e-07,5.0478890071641747e-11,3.739810115479595e-13,9.069958932387108e-13,8.097129900052225e-05,1.9271936414698525e-05,3.5039978506613454e-06,3.504003989689554e-06,223.8986591109677,1.6154956805206573,1.4557299590111958e-08
16.768329368110074,6.169070763949015e-12,5.499971932812284,2.342111694276814e-11,2.527234661561339e-13,3.0649983891960285e-13,1.4622217550979733e-11,2.5350575847552267e-07,0.0005497464942415246,1.0790919724415588e-05,0.027489209035197464,0.002749746449163396,2.535508366039252e-07,6.093584762447514e-11,6.573743723426596e-13,1.5945107854059554e-12,0.00011793802575828463,2.8067124523283836e-05,5.103125039308441e-06,5.103138060233731e-06,223.91963637271368,1.6155316916364055,2.5581068756161292e-08
20.235896477251565,1.0839470858884789e-11,5.499959123649885,2.8269324620440138e-11,4.441843520502014e-13,5.388015328460302e-13,1.764226321644523e-11,3.0590751119618785e-07,0.0005496940924888039,1.5713616966651067e-05,0.02748428632476051,0.0027496940342159573,3.059657840423024e-07,7.35670408910776e-11,1.1555697417534255e-12,2.803443149009616e-12,0.0001717892453711739,4.087627258436551e-05,7.432063657346206e-06,7.432091275365762e-06,223.9483397041693,1.6155809455597032,4.4950030096825645e-08
24.42053094548651,1.9043626830119258e-11,5.4999404686015,3.412317013561473e-11,7.80698519303845e-13,9.472411321315233e-13,2.128412400347814e-11,3.69134648085395e-07,0.0005496308653519149,2.288092156837136e-05,0.027477119001305533,0.0027496307882258126,3.6921177418714805e-07,8.883011180878949e-11,2.0314537279100972e-12,4.929628319729311e-12,0.0002502447334045084,5.9531302703583414e-05,1.082389063630532e-05,1.0823949215135947e-05,223.98792161003914,1.615648824721871,7.897748223158599e-08
29.4705170255181,3.345216119397145e-11,5.499913299695772,4.1192640830354615e-11,1.372163351066662e-12,1.6654746692799552e-12,2.5674388314540705e-11,4.454199243979287e-07,0.0005495545800756023,3.331513338128902e-05,0.027466684761596416,0.0027495544750532983,4.4552494670095664e-07,1.0728299810876448e-10,3.5715382805294647e-12,8.669970489789586e-12,0.00036456200271639565,8.670018469902763e-05,1.57636916778937e-05,1.57638159262844e-05,224.0429055504293,1.615743031379881,1.3874645048581096e-07
35.564803062231285,5.874899780345796e-11,5.49987373141727,4.973254890107708e-11,2.4117380205903555e-12,2.928734170393283e-12,3.096433558734022e-11,5.374544843430843e-07,0.0005494625455156572,4.850285627637152e-05,0.027451496996008545,0.002749462397800568,5.376021994317368e-07,1.2960876824945228e-10,6.279952294419315e-12,1.52523359795742e-11,0.0005311662317057579,0.00012626843158443287,2.295792413275034e-05,2.2958187669823003e-05,224.11978961285072,1.6158745962277246,2.4370256059939954e-07
42.91934260128776,1.0314137090350455e-10,5.4998161052224654,6.005279672337462e-11,4.23891909676547e-12,5.1512537209617604e-12,3.7333933106743087e-11,6.484806450623148e-07,0.000549351519354938,7.060443534905661e-05,0.02742939534958142,0.00274935130428541,6.486957145895873e-07,1.5664860579965373e-10,1.1044127210709565e-11,2.6842294194023485e-11,0.0007740404844485612,0.00018389458299535358,3.343541409719173e-05,3.3435973073181515e-05,224.22792206507708,1.616059311052803,4.2793744524434016e-07
51.7947467923121,1.8099243492238497e-10,5.499732180841185,7.253148352353011e-11,7.450389624746019e-12,9.063003959569297e-12,4.499583433995362e-11,7.824025931095277e-07,0.0005492175974068908,0.00010275626028309872,0.027397243415620758,0.00274921727331074,7.827266892598609e-07,1.894468688831893e-10,1.9427128429045333e-11,4.726423613093507e-11,0.001128241053270556,0.0002678189026722932,4.869439251174092e-05,4.869557812226262e-05,224.3807952806429,1.616319756983946,7.511593907864348e-07
62.505519252739695,3.173919748529213e-10,5.499609959210297,8.763196238823197e-11,1.3094791613563176e-11,1.595169709370649e-11,5.4198770509579e-11,9.439178656781918e-07,0.000549056082134322,0.00014950532656747578,0.027350494169211637,0.0027490555779134283,9.444220865717524e-07,2.293146404804656e-10,3.418434069765785e-11,8.328506242142346e-11,0.00164508865211264,0.00039004044291484003,7.091650721865764e-05,7.091902191299254e-05,224.5979200253173,1.6166881586082325,1.317782402377809e-06
75.43120063354615,5.560401622888538e-10,5.499431969843929,1.0592555369735668e-10,2.3014854665441232e-11,2.8092543118710688e-11,6.522916954301685e-11,1.1386725488976454e-06,0.0005488613274511026,0.0002174301413910625,0.027282569052214115,0.002748860521056276,1.139478943724091e-06,2.7792244047121405e-10,6.01791050722597e-11,1.469134715741161e-10,0.002399878528766766,0.0005680296710521949,0.00010327821019470466,0.00010328354375623091,224.90755194006005,1.6172104430011291,2.3099640116062413e-06
91.02981779915217,9.727386881286857e-10,5.499172780251583,1.28122601567074e-10,4.0448130125373484e-11,4.951434293920065e-11,7.840885985626251e-11,1.3734428645971215e-06,0.0005486265571354031,0.00031601988734784,0.027183978793905196,0.0027486252383884372,1.3747616115626877e-06,3.3744010611750806e-10,1.0601022543161515e-10,2.595472953536727e-10,0.0035034233459405994,0.0008272190454153502,0.00015040359062125995,0.00015041490237543542,225.35068787365879,1.617951673397332,4.044420015027129e-06
109.85411419875584,1.6982158609414834e-09,5.498795376789528,1.551161433198575e-10,7.108118621295101e-11,8.737213944447079e-11,9.40850742182104e-11,1.6563450270100563e-06,0.0005483436549729902,0.0004589022731759993,0.027041095533581458,0.002748341461730446,1.6585382695536441e-06,4.1075451663868393e-10,1.8691635888616217e-10,4.595236008815441e-10,0.0051195235416784625,0.0012046221532736748,0.00021902240190401818,0.00021904639081299002,225.9869854406899,1.6190027874681494,7.069241185612277e-06
132.57113655901082,2.9559334886206736e-09,5.4982459112023125,1.8804493828176036e-10,1.2489724379894172e-10,1.5442854152251193e-10,1.1260636164146547e-10,1.997073830330156e-06,0.00054800292616967,0.0006655229034770183,0.026834473406183865,0.002747999235830554,2.000764169445537e-06,5.018177306462063e-10,3.299944518682274e-10,8.160853251303116e-10,0.007491797080219152,0.0017540871497858667,0.0003189252359431743,0.0003189761034118287,226.90338342372232,1.6204892962150381,1.2326137510780506e-05
159.98587196060572,5.122923587656025e-09,5.497446086344009,2.2838659770815816e-10,2.1940866147202756e-10,2.7358577385990066e-10,1.342737874461793e-10,2.4071681527249146e-06,0.0005475928318472754,0.0009633669676016058,0.026536626780234208,0.0027475865796830925,2.413420316906917e-06,6.162162315041344e-10,5.836490976505014e-10,1.4556948209946615e-09,0.010985669693233566,0.002553911000427034,0.000464347937452849,0.00046445578034216964,228.2269056339495,1.6225802759750418,2.141637744308311e-05
193.06977288832496,8.823462797367515e-09,5.496282142825756,2.7809694404237635e-10,3.8529610815544115e-10,4.862707681684791e-10,1.5925118435175975e-10,2.9002990540476547e-06,0.0005470997009459525,0.001390738523069692,0.026109250858281734,0.0027470890822973815,2.910917702617911e-06,7.621174260168226e-10,1.0348647991868467e-09,2.612738271228299e-09,0.016155663258298737,0.0037178527645197602,0.0006759740316808079,0.0006762026051388134,230.14395174447188,1.6254934818792446,3.702291069767242e-05
232.99518105153717,1.5062137187680763e-08,5.494588970838707,3.398190545286464e-10,6.761963080470803e-10,8.682300449285772e-10,1.8741116649021796e-10,3.4925767057011213e-06,0.0005465074232942991,0.0019998983662085188,0.025500083631767673,0.0027464894212704915,3.510578729507703e-06,9.518634175388763e-10,1.8411813836043121e-09,4.730284317974677e-09,0.023856293327029127,0.005411021637961198,0.0009838234838715335,0.000984307755846776,232.92936754721597,1.6294894459475138,6.354470394758181e-05
281.1768697974228,2.5386517838785608e-08,5.492127260275231,4.171918579863879e-10,1.1855477112347954e-09,1.5598969564832384e-09,2.1808891553521883e-10,4.202881975814851e-06,0.0005457971180241856,0.0028598685836857345,0.024640101089174027,0.002745766790883948,4.2332091160513565e-06,1.2046781436440212e-09,3.2906952176766544e-09,8.667385445019081e-09,0.03543068307866995,0.00787272656200683,0.0014314072226853305,0.0014324326646707073,236.99110415597562,1.6348363855952792,0.00010797039804722501
293.8775510204082,2.8632191942159663e-08,5.491402445165307,4.381606155055631e-10,1.3525162292713765e-09,1.7922250511459034e-09,2.255203166957355e-10,4.389273593914125e-06,0.0005456107264060863,0.0031074253288846648,0.024392540438276128,0.002745576493566879,4.42350643312006e-06,1.2762497368773774e-09,3.774948150238255e-09,1.001502618511932e-08,0.03892377645578305,0.008597539768465327,0.0015631917881259677,0.0015644148471591563,238.19161008357915,1.6363125564105578,0.00012206966644990125
339.3221771895326,4.202344070175917e-08,5.488550742786865,5.152869785765478e-10,2.0751723746306646e-09,2.8260688528377916e-09,2.4972201190193054e-10,5.0532594357282915e-06,0.000544946740564272,0.004057233393536375,0.023442716090703853,0.002744896224804498,5.103775195500818e-06,1.5512931674034546e-09,5.916119075306075e-09,1.614218073984959e-08,0.05304213201157382,0.01144923360353904,0.002081683129660919,0.0020838528436146024,242.94023586526515,1.6417117971129458,0.00018091182102569246
409.49150623804235,6.783116581975582e-08,5.483359343769265,6.411758170415727e-10,3.622620777939281e-09,5.175722233524828e-09,2.7939243759510034e-10,6.069477163138114e-06,0.0005439305228368623,0.005691578315942926,0.021808338958257754,0.002743847797037541,6.152202962457475e-06,2.0418876251557895e-09,1.0714001973346174e-08,3.071764826767814e-08,0.08027615463636731,0.01664061275719379,0.00302557386013369,0.003030160161857762,251.7037699241758,1.6499815938670073,0.0002974735675081628
494.1713361323833,1.0575287989988003e-07,5.475832218173361,8.045399666714315e-10,6.2965513124491536e-09,9.60643312691617e-09,3.023906147337973e-10,7.281946741717652e-06,0.0005427180532582826,0.007859874607719232,0.01963999302305272,0.002742585684030233,7.414315969765412e-06,2.7597690894787974e-09,1.956861653388979e-08,6.007995381254261e-08,0.12326639345593839,0.024167699418295344,0.004394142150298047,0.004403824767859454,264.71159129391606,1.6587756322138765,0.0004773174453314964
587.7551020408164,1.5290153771425994e-07,5.465926023958373,9.99388739469169e-10,1.0423353622319128e-08,1.7228987833142637e-08,3.120254009986177e-10,8.60611455415231e-06,0.000541393885445848,0.010387340639624171,0.017112460266094684,0.0027411947911647025,8.805208835295963e-06,3.743328051854292e-09,3.439369570879159e-08,1.1489332241993193e-07,0.1861482560353938,0.03407382301127638,0.006195268371204967,0.006214538677338897,282.4034185311243,1.6654013651376371,0.0007192104254649612
596.3623316594643,1.57364184948763e-07,5.464931901456407,1.0180234056606474e-09,1.0869469718198892e-08,1.8104768527161722e-08,3.1213219584670967e-10,8.727155208107046e-06,0.0005412728447918932,0.010622239917031465,0.016877554309621214,0.0027410670714445684,8.932928555430168e-06,3.844999033058415e-09,3.60716736547941e-08,1.2148154941377616e-07,0.19285369812619457,0.03506793714536621,0.006376017917016858,0.006396431537257088,284.21539175695875,1.665792365026807,0.0007434297880774012
719.6856730011514,2.204328842791109e-07,5.449167224483296,1.2966277269683937e-09,1.857205708403295e-08,3.465355908311579e-08,3.010719482691592e-10,1.0449198873097894e-05,0.0005395508011269022,0.013943783490719994,0.013555906599520802,0.0027392408913676954,1.0759108632303063e-05,5.535045345805567e-09,6.710773307341193e-08,2.55055851702551e-07,0.30880640074917737,0.050832447818069934,0.009242322821218901,0.009285298085918506,313.8442687131335,1.6664065959760896,0.0011211347619250018
