M + R -> Pn; 12000
M + Pn -> Pn; 900
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 0.79
CuII + R -> CuI + RX; 8.4e+06
CuI + PnX -> CuII + Pn; 0.79
CuII + Pn -> CuI + PnX; 8.4e+06
TI -> 2 R; 2.6e-05
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -900*y_1*y_2 - 12000*y_1*y_5
Pn:,dy_2/dt = 12000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 8400000.0*y_2*y_7 + 0.79*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -12000*y_1*y_5 + 4.16e-5*y_10 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 8400000.0*y_5*y_7 + 0.79*y_6*y_9
CuI:,dy_6/dt = 8400000.0*y_2*y_7 + 8400000.0*y_5*y_7 - 0.79*y_6*y_8 - 0.79*y_6*y_9
CuII:,dy_7/dt = -8400000.0*y_2*y_7 - 8400000.0*y_5*y_7 + 0.79*y_6*y_8 + 0.79*y_6*y_9
PnX:,dy_8/dt = 8400000.0*y_2*y_7 - 0.79*y_6*y_8
RX:,dy_9/dt = 8400000.0*y_5*y_7 - 0.79*y_6*y_9
TI:,dy_10/dt = -2.6e-5*y_10
M1_Pn:,dy_11/dt = 900*y_1*y_2 + 12000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 8400000.0*y_11*y_7 + 0.79*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 1800*y_1*y_11 + 900*y_1*y_2 + 12000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 8400000.0*y_11*y_7 - 0.79*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
5.428675439323859,1.3444212211035002e-13,4.99999872716037,2.8445001563365553e-11,9.980665994845197e-14,3.603709628519751e-13,2.1878073717881157e-12,6.209650557860979e-07,0.0005493790349442137,6.445926433050869e-07,0.054999976372412496,0.0027496118770977576,5.618229529958211e-11,1.970763850679993e-13,1.423165239108237e-12,3.753739946539918e-06,1.2727818231837491e-06,2.5456792602795985e-07,2.545679585069679e-07,205.64973012579077,1.4935563881254035,1.7363467413868221e-09
6.551285568595508,1.6964934215001814e-13,4.999998430340266,2.957440116568997e-11,1.2597023888485784e-13,4.548569361621052e-13,2.274139147153874e-12,7.49370188969007e-07,0.0005492506298110307,7.948620445062443e-07,0.054999954508144475,0.0027495316229732216,5.841977207158093e-11,2.4875565764244265e-13,1.7964296454418429e-12,4.629499752495755e-06,1.569599264769876e-06,3.1393194674933513e-07,3.1393199597166764e-07,205.66318467372346,1.4935895467956282,2.1915153697437934e-09
7.906043210907698,2.1584755303477126e-13,4.999998056797604,3.0938068889283577e-11,1.6031513276482128e-13,5.788975213819666e-13,2.3783240029547427e-12,9.043235409558106e-07,0.0005490956764590439,9.83949128220999e-07,0.054999920374412745,0.002749434776005432,6.112205742816441e-11,3.1660369950653133e-13,2.286511861277711e-12,5.731816714973944e-06,1.9431386666893005e-06,3.8864047926523424e-07,3.8864055482363325e-07,205.6793470417425,1.4936293763391628,2.7890140519336833e-09
9.54095476349994,2.7725303966588357e-13,4.999997583658802,3.258477755838537e-11,2.0598723514621577e-13,7.43862026631429e-13,2.5040538989679325e-12,1.0913127966149695e-06,0.0005489086872033847,1.2234146770928308e-06,0.05499986789811954,0.002749317906339742,6.438623978430327e-11,4.068425416320305e-13,2.9383848965449072e-12,7.128329634854573e-06,2.4162734622569395e-06,4.832682396482824e-07,4.832683564650358e-07,205.69888728114844,1.4936775301170229,3.583571505590832e-09
11.513953993264469,3.6003055057242074e-13,4.9999969801172375,3.457353616661894e-11,2.6759081564899777e-13,9.663933724205255e-13,2.6557842497516146e-12,1.3169594067971035e-06,0.0005486830405932026,1.5288227097204934e-06,0.05499978813669709,0.00274917687550217,6.832993039590574e-11,5.285815739059568e-13,3.817903605603807e-12,8.910185097889884e-06,3.0198100819715327e-06,6.039765525045482e-07,6.039767349742581e-07,205.72262650200193,1.4937360304929366,4.655287474659036e-09
13.894954943731374,4.733322626109972e-13,4.999996204327365,3.697577574876583e-11,3.519719876954309e-13,1.2712450300246883e-12,2.838891757213702e-12,1.5892525641271998e-06,0.0005484107474358726,1.921304145988047e-06,0.05499966794841815,0.0027490066901583806,7.309571323999561e-11,6.953724664104322e-13,5.023065396608218e-12,1.1201269768940083e-05,3.7955938164327086e-06,7.59134526973071e-07,7.59134815080323e-07,205.7515796980691,1.4938073914220558,6.1232623824651e-09
16.768329368110074,6.309471146234862e-13,4.999995198985066,3.987801917424876e-11,4.694531567237299e-13,1.6957448479475357e-12,3.0598648334798976e-12,1.9178313442788816e-06,0.0005480821686557209,2.429779865021443e-06,0.05499948805147927,0.0027488013257662156,7.885661077707675e-11,9.276531169996963e-13,6.7016850079086805e-12,1.4171363373104298e-05,4.800928443900751e-06,9.602029868105434e-07,9.602034478330826e-07,205.78697709745282,1.4938946220186746,8.167072667713251e-09
20.235896477251565,8.539607390565443e-13,4.999993885013878,4.338514988537627e-11,6.358534045910094e-13,2.2971204436145894e-12,3.3265333097515844e-12,2.3143248720997936e-06,0.0005476856751278999,3.094132030336142e-06,0.05499922019284177,0.0027485535139576,8.582282150947867e-11,1.2567668498075924e-12,9.080539393882665e-12,1.8054964669591522e-05,6.114889957897593e-06,1.2229972243815723e-06,1.2229979722117062e-06,205.8303474696952,1.4940015026265123,1.1061918237957696e-08
24.42053094548651,1.1750702710575376e-12,4.999992152514494,4.762442514853862e-11,8.757400382773741e-13,3.164271602968643e-12,3.648345476135441e-12,2.792762365477915e-06,0.0005472072376345218,3.969743995984448e-06,0.054998823018369496,0.0027482544862389977,9.425005809279349e-11,1.7314141716837972e-12,1.2512085304770308e-11,2.3178323896418374e-05,7.84737700856746e-06,1.569497101172601e-06,1.5694983328722953e-06,205.8835480083391,1.494132579470298,1.5235188209585813e-08
29.4705170255181,1.6456740700243072e-12,4.9999898477518565,5.275042026750664e-11,1.2278319876462217e-12,4.437373587434202e-12,4.03670209533557e-12,3.370067291885017e-06,0.0005466299327081147,5.134015224607022e-06,0.05499823605206728,0.0027478936651079613,1.0444991815013244e-10,2.428413704991061e-12,1.755253879199032e-11,2.9998411430219307e-05,1.0152123709013584e-05,2.03044962869825e-06,2.030451689987593e-06,205.9488659957467,1.4942934823091245,2.1360460422798062e-08
35.564803062231285,2.347603123313589e-12,4.999986754394788,5.895114373272056e-11,1.7539422042991537e-12,6.340320758313026e-12,4.505358912431581e-12,4.066652718440316e-06,0.0005459333472815595,6.695733895566344e-06,0.05499737091882288,0.0027474582919017926,1.1680285489138035e-10,3.4705121405812982e-12,2.509110531716128e-11,3.9159253078226286e-05,1.3245459843876354e-05,2.649121042352931e-06,2.6491245513167628e-06,206.02909121202373,1.4944910558602347,3.0513066989525076e-08
42.91934260128776,3.4127087683126204e-12,4.9999825664044675,6.645563636377004e-11,2.554016249580787e-12,9.235358008733886e-12,5.070911357799337e-12,4.907138321686842e-06,0.000545092861678313,8.808585211058047e-06,0.054996098553110634,0.002746932978571452,1.3177450909265502e-10,5.056405371981547e-12,3.6568094619970494e-11,5.157363392674352e-05,1.743342213000729e-05,3.4867191065046653e-06,3.4867251850799156e-06,206.12763602194204,1.4947336755605967,4.443171097338397e-08
51.7947467923121,5.055783400486043e-12,4.999976848768435,7.554346636124314e-11,3.791462469969886e-12,1.3715134915567001e-11,5.753377606544917e-12,5.921213543636939e-06,0.0005440787864563627,1.1690654592961427e-05,0.05499423055895068,0.002746299168051251,1.4993643142115758e-10,7.51134030373093e-12,5.434270499116994e-11,6.85419135380153e-05,2.3151019770216994e-05,4.630246312942176e-06,4.6302570326691394e-06,206.24863704958912,1.4950313954410248,6.595911945743625e-08
62.505519252739695,7.63031626859863e-12,4.99996898051579,8.655667044987133e-11,5.736637946263524e-12,2.0761122543747563e-11,6.576898844991124e-12,7.144676124787163e-06,0.0005428553238752125,1.5652615201512646e-05,0.054991492060923276,0.0027455344849077767,1.7199261795181786e-10,1.137436685207257e-11,8.232870564302901e-11,9.192539841602646e-05,3.1019218509731396e-05,6.203896841938672e-06,6.203916086245974e-06,206.3971997477707,1.4953967147607639,9.979854418610416e-08
75.43120063354615,1.1723357684950837e-11,4.999958071858484,9.991488135782607e-11,8.841243073856285e-12,3.201489377570926e-11,7.57057834220843e-12,8.62068083288054e-06,0.0005413793191671191,2.113852146370142e-05,0.05498748215936918,0.0027446119544295437,1.9881382551643113e-10,1.7547876174196827e-11,1.2708497577706156e-10,0.00012439997267728423,4.1927798064721486e-05,8.385628303209102e-06,8.38566346282972e-06,206.57957870786046,1.495844880177648,1.5380797874586484e-07
91.02981779915217,1.831781866044186e-11,4.9999428434841935,1.1613466047285564e-10,1.3867079178615357e-11,5.024859461539197e-11,8.769483340593354e-12,1.0401239711120126e-05,0.0005395987602888796,2.8784883842439572e-05,0.054981616355868686,0.002743499064189155,2.3148249631823606e-10,2.755738069390771e-11,1.9971382411883865e-10,0.00016982843686781597,5.7156057048559974e-05,1.1431303161302253e-05,1.1431368499185799e-05,206.80346939865052,1.4963945555127445,2.412401583088021e-07
109.85411419875584,2.9071307540358806e-11,4.999921450379006,1.3585444653788804e-10,2.211036639268604e-11,8.018659543680876e-11,1.0215835143592642e-11,1.2549022693843955e-05,0.0005374509773061557,3.9506261750868e-05,0.05497304276094298,0.00274215663730063,2.7135234121415765e-10,4.400616378015471e-11,3.191913908303644e-10,0.0002338090873208549,7.854898643950744e-05,1.570992419885897e-05,1.571004760110193e-05,207.07840600387948,1.4970687801931908,3.846452087393861e-07
132.57113655901082,4.679708074398071e-11,4.999891224186306,1.5986711690147924e-10,3.57947910586297e-11,1.299490758104083e-10,1.1960411647122846e-11,1.513951601164426e-05,0.0005348604839883555,5.461930832647176e-05,0.05496052020768518,0.0027405374810442517,3.201285713637788e-10,7.137590288477909e-11,5.182479365836571e-10,0.0003244872034625704,0.00010877490393719604,2.17551627388346e-05,2.1755399385818512e-05,207.41627469017567,1.497896059586227,6.2270913349714e-07
159.98587196060572,7.629595457331188e-11,4.999848295641332,1.8916302815327697e-10,5.876577135762973e-11,2.1361110178852725e-10,1.4064180401295986e-11,1.8263605369054863e-05,0.0005317363946309449,7.602250973025606e-05,0.0549422410956388,0.0027385847681998788,3.7997776997624483e-10,1.1745049700912824e-10,8.538624660016091e-10,0.00045376128240131035,0.0001517030073723783,3.0340871733613996e-05,3.034133202709872e-05,207.8320367028557,1.4989120756185974,1.0223344172872655e-06
193.06977288832496,1.2579888874984501e-10,4.999787039994176,2.2498772868925765e-10,9.77246488278794e-11,3.5577096680011423e-10,1.6600164299081197e-11,2.2030661235537724e-05,0.000527969338764462,0.00010645648839536465,0.054915574172840174,0.0027362301013194356,4.5368119702741594e-10,1.9586748115177702e-10,1.4261458579839779e-09,0.000639085985699826,0.00021295793012384025,4.2592001164720726e-05,4.259290822977426e-05,208.344682249516,1.5001617859128138,1.7001190385053685e-06
232.99518105153717,2.0947269820790727e-10,4.999699260340524,2.6892059429649256e-10,1.644403103203888e-10,5.997788974159569e-10,1.965550794788802e-11,2.6572214185501247e-05,0.0005234277858144985,0.0001498805492829152,0.05487669166490259,0.0027333912023547453,5.44853186715115e-10,3.307361313988498e-10,2.4126930648747286e-09,0.0009061852542097229,0.00030073637118791516,6.014793189521583e-05,6.0149740854655804e-05,208.9785484523029,1.5017023253380806,2.860856006109472e-06
281.1768697974228,3.517782854573708e-10,4.999572981496372,3.229838963872895e-10,2.797443918985955e-10,1.022692899646961e-09,2.333364567616127e-11,3.204631800458644e-05,0.0005179536819954133,0.0002120163217011826,0.05482002999630341,0.002729969161730872,6.582594447536516e-10,5.650802745665223e-10,4.131758420119479e-09,0.001293168178535489,0.0004270131485247218,8.540370072562808e-05,8.540734782933344e-05,209.765153169801,1.503606677168979,4.867106321181615e-06
339.3221771895326,5.950494511594703e-10,4.99939066260071,3.897971168763037e-10,4.808221718923999e-10,1.76277996740445e-09,2.7756347302136502e-11,3.8642705020866124e-05,0.0005113572949791336,0.0003011302264833582,0.0547375124785375,0.0027258451724963195,8.002929172571772e-10,9.764828835573549e-10,7.160183314050234e-09,0.0018568361645255058,0.000609328462325098,0.00012186747985794,0.00012187490630252881,210.74581552063358,1.505969115688817,8.366239196110492e-06
409.49150623804235,1.012656921506816e-09,4.999126537601249,4.72800093639119e-10,8.346703785159745e-10,3.070750400552405e-09,3.30651885101441e-11,4.6588837701306565e-05,0.0005034111622986931,0.0004291543210025185,0.05461743451669878,0.0027208766672533187,9.797049680338329e-10,1.706519955592697e-09,1.2557245526172175e-08,0.0026824688456493894,0.0008734471552742103,0.00017469247975014922,0.00017470774025878758,211.9754510266534,1.508912926444299,1.4525142002050183e-05
494.1713361323833,1.7318225277436101e-09,4.998742638869945,5.765836787466362e-10,1.4632579627509928e-09,5.406605873036671e-09,3.94215902595188e-11,5.615694487925958e-05,0.0004938430551207401,0.0006132801622485862,0.05444287678263066,0.002714892769264522,1.2087641566903985e-09,3.0170918409204497e-09,2.229757316346051e-08,0.003899241305942362,0.001257334606618674,0.00025147222601091813,0.0002515038504529536,213.52813889979745,1.512600506559585,2.5469622248305355e-05
