M + R -> Pn; 9700
M + Pn -> Pn; 833
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 9e+07
2 Pn -> 2 PnD; 4.5e+07
2 Pn -> PnDPn; 4.5e+07
CuI + RX -> CuII + R; 14
CuII + R -> CuI + RX; 4.7e+07
CuI + PnX -> CuII + Pn; 140
CuII + Pn -> CuI + PnX; 4.7e+07
TI -> 2 R; 9.1e-06
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 90000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -833*y_1*y_2 - 9700*y_1*y_5
Pn:,dy_2/dt = 9700*y_1*y_5 - 180000000.0*y_2**2 - 90000000.0*y_2*y_5 - 47000000.0*y_2*y_7 + 140*y_6*y_8
PnD:,dy_3/dt = 90000000.0*y_2**2 + 90000000.0*y_2*y_5
PnDPn:,dy_4/dt = 45000000.0*y_2**2
R:,dy_5/dt = -9700*y_1*y_5 + 1.456e-5*y_10 - 90000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 47000000.0*y_5*y_7 + 14*y_6*y_9
CuI:,dy_6/dt = 47000000.0*y_2*y_7 + 47000000.0*y_5*y_7 - 140*y_6*y_8 - 14*y_6*y_9
CuII:,dy_7/dt = -47000000.0*y_2*y_7 - 47000000.0*y_5*y_7 + 140*y_6*y_8 + 14*y_6*y_9
PnX:,dy_8/dt = 47000000.0*y_2*y_7 - 140*y_6*y_8
RX:,dy_9/dt = 47000000.0*y_5*y_7 - 14*y_6*y_9
TI:,dy_10/dt = -9.1e-6*y_10
M1_Pn:,dy_11/dt = 833*y_1*y_2 + 9700*y_1*y_5 - 180000000.0*y_11*y_2 - 90000000.0*y_11*y_5 - 47000000.0*y_11*y_7 + 140*y_15*y_6
M1_PnD:,dy_12/dt = 90000000.0*y_11*y_2 + 90000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 90000000.0*y_11*y_2
M2_total:,dy_14/dt = 1666*y_1*y_11 + 833*y_1*y_2 + 9700*y_1*y_5 + 90000000.0*y_11**2
M1_PnX:,dy_15/dt = 47000000.0*y_11*y_7 - 140*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
7.906043210907698,7.494334999326643e-14,5.499999366840691,4.223095383609749e-12,8.231254476192212e-15,2.7727941478072687e-15,2.04462551541237e-12,3.165402265876777e-07,0.0005496834597734121,5.377965399886754e-07,0.027499778743686604,0.002749802158385609,4.972163372260286e-12,9.690857788627296e-15,6.5289571984264095e-15,8.57692808381435e-07,6.331543212157743e-07,1.1511987436046472e-07,1.1511988099628964e-07,117.87247819198573,1.1506074951027072,3.2261888278208426e-10
9.54095476349994,1.1617945617381391e-13,5.499999140522582,4.881600073047234e-12,1.2763431799588279e-14,4.29971841310297e-15,2.3629456335504138e-12,3.819958630995265e-07,0.0005496180041369002,7.300154158524649e-07,0.027499651980447248,0.0027497612479717593,5.747651881928888e-12,1.502703608753252e-14,1.0124553561664223e-14,1.1643058091435986e-06,8.594716461595823e-07,1.5626862147722809e-07,1.562686335912617e-07,117.87463635137127,1.150623047224489,5.001539083622115e-10
11.513953993264469,1.83092930159285e-13,5.499998823861836,5.676805667828278e-12,2.0120627100483607e-14,6.778604847772771e-15,2.747111509109861e-12,4.609859259423435e-07,0.0005495390140740574,9.989553378587954e-07,0.027499462030588083,0.002749711878395858,6.6842125763876384e-12,2.3689696845743847e-14,1.5962036844432422e-14,1.5933411762625086e-06,1.1761314405458079e-06,2.1384330249997097e-07,2.138433252757447e-07,117.87742269739533,1.150643123770648,7.882573343829605e-10
13.894954943731374,2.928867471093394e-13,5.499998378295741,6.637280939947054e-12,3.2199173864486635e-14,1.08487175408693e-14,3.210746374667045e-12,5.563086287526753e-07,0.0005494436913712471,1.3773563857410655e-06,0.027499178952243013,0.002749652300735275,7.815558134060989e-12,3.791218587531976e-14,2.5547152423641042e-14,2.1970778396196307e-06,1.6216963808532822e-06,2.948553197964801e-07,2.948553632873749e-07,117.88106883279116,1.1506693958987417,1.261030385656599e-09
16.768329368110074,4.748337337021597e-13,5.499997748206607,7.797692344394569e-12,5.222895972477548e-14,1.7599073813745344e-14,3.7702919024549646e-12,6.713405548662229e-07,0.0005493286594451333,1.9124317820259154e-06,0.02749875890877284,0.002749580404571807,9.182629688898041e-12,6.14987308350676e-14,4.1445233776384574e-14,3.0509344593829652e-06,2.2517841085921647e-06,4.0941698047964276e-07,4.0941706437269933e-07,117.88583996593343,1.1507037710242007,2.044584876561549e-09
20.235896477251565,7.789935736574785e-13,5.499996853243346,9.200197048743292e-12,8.574303686409486e-14,2.8895889151771945e-14,4.445590027900488e-12,8.101561292023882e-07,0.0005491898438707972,2.6723763243417224e-06,0.02749813777980486,0.002749493643314053,1.0835271175642258e-11,1.0096731289289513e-13,6.805311464212552e-14,4.263908423493152e-06,3.1467456519832998e-06,5.721375735199465e-07,5.721377371630537e-07,117.89214536096551,1.1507491942710903,3.3546486866367903e-09
24.42053094548651,1.2913519054103006e-12,5.499995577155061,1.0896182112649067e-11,1.422671006599161e-13,4.795349624253072e-14,5.260584699555258e-12,9.776717343010354e-07,0.0005490223282656986,3.755825502186841e-06,0.02749722184623211,0.0027493889441121307,1.2834329026662907e-11,1.6754163955836095e-13,1.1294540616132678e-13,5.993772984343978e-06,4.422831825293195e-06,8.041536253051101e-07,8.041539487286133e-07,117.90055953334345,1.150809798452905,5.561912722019193e-09
29.4705170255181,2.1601427570670334e-12,5.499993751542604,1.2948540007716905e-11,2.3826977819625555e-13,8.033217556003096e-14,6.244164977373641e-12,1.1798195368956089e-06,0.000548820180463104,5.305607133632363e-06,0.027495874212403258,0.002749262599194578,1.525442737315586e-11,2.8063104909387467e-13,1.892283989956945e-13,8.469225636254072e-06,6.248441673467006e-06,1.1360831628983512e-06,1.1360838082799996e-06,117.91185709220811,1.1508911537368265,9.305734132303094e-09
35.564803062231285,3.641723405580292e-12,5.499991132196128,1.543465132444405e-11,4.023583096209821e-13,1.35698988966608e-13,7.431177719420009e-12,1.4237571242782644e-06,0.0005485762428757214,7.528734426434524e-06,0.02749389502269784,0.00274911013480901,1.8187641117040317e-11,4.739646899483877e-13,3.1969782006216553e-13,1.2022235024825454e-05,8.867784891716852e-06,1.6123279766653489e-06,1.6123292763581784e-06,117.92720923934301,1.1510016717640554,1.5692653429579964e-08
42.91934260128776,6.180592493151875e-12,5.4999873646215445,1.8450420591333104e-11,6.844262905421499e-13,2.309336083986441e-13,8.863639561005389e-12,1.7181202884754735e-06,0.0005482818797115243,1.0725482103334137e-05,0.027490992638185142,0.0027489261531691133,2.1748526673405434e-11,8.064007862962378e-13,5.441786421628547e-13,1.7135310205070375e-05,1.2635355357650558e-05,2.297341537368683e-06,2.297344176330488e-06,117.94824648621928,1.1511530506803063,2.6643221819968415e-08
