M + R -> Pn; 33100
M + Pn -> Pn; 33100
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 1000
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 1000
CuII + Pn -> CuI + PnX; 1e+08
TI -> 2 R; 9.1e-06
The initiation efficiency of the thermal initiator is 0.8.
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -33100*y_1*y_2 - 33100*y_1*y_5
Pn:,dy_2/dt = 33100*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 1000*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -33100*y_1*y_5 + 1.456e-5*y_10 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 1000*y_6*y_9
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 1000*y_6*y_8 - 1000*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 1000*y_6*y_8 + 1000*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 1000*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 1000*y_6*y_9
TI:,dy_10/dt = -9.1e-6*y_10
M1_Pn:,dy_11/dt = 33100*y_1*y_2 + 33100*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 1000*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 66200*y_1*y_11 + 33100*y_1*y_2 + 33100*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 1000*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,TI,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
5.428675439323859,1.5739850054163223e-12,5.499972699935394,4.2155320050252876e-11,1.6249370943284046e-13,3.236809278853158e-13,1.2729537598302718e-11,1.0901732695269637e-07,0.0005498909826730477,6.332759583691151e-06,0.02749377625774325,0.0013799318283777208,1.8175747571579658e-10,7.005199523619635e-13,2.7908151102508135e-12,0.000208075523728498,2.7299879358681125e-05,4.963648110231392e-06,4.963660429176643e-06,371.12521098589076,1.7680297641693448,8.668511165890161e-09
6.551285568595508,2.756497095027941e-12,5.4999603308840666,5.0818173224671415e-11,2.8461512110337273e-13,5.669797560708263e-13,1.534275723173316e-11,1.3155941096600807e-07,0.0005498684405890343,9.201331551047732e-06,0.027490930227859908,0.0013799177314081476,2.1913774915456874e-10,1.2270972271708754e-12,4.888983358880315e-12,0.00030237483732770793,3.9668890680764684e-05,7.2125665333544475e-06,7.21259254404453e-06,371.1522614322616,1.7680466617736643,1.5182079011901695e-08
7.906043210907698,4.829963914480071e-12,5.499942335390115,6.127431043908587e-11,4.988088055125938e-13,9.937659732225597e-13,1.849511089839625e-11,1.5876174504456235e-07,0.0005498412382549559,1.3374091691547912e-05,0.02748678467005348,0.001379900719480771,2.6427607453220236e-10,2.150833132886823e-12,8.570116699645549e-12,0.00043959406707734885,5.766433488919501e-05,1.0484474524603952e-05,1.0484529487094325e-05,371.18954177301725,1.7680699396286566,2.6604744241591945e-08
9.54095476349994,8.466517330462863e-12,5.499916149432139,7.389566468698851e-11,8.746213355431003e-13,1.7427150067382811e-12,2.2297124055396884e-11,1.915871546056103e-07,0.000549808412845395,1.9444675836472817e-05,0.02748074691131812,0.0013798801898912759,3.1879569629276974e-10,3.771937804420787e-12,1.5031448881899723e-11,0.0006393180632007622,8.385023026247169e-05,1.524555779284433e-05,1.5245674007505226e-05,371.24131268857,1.7681022432483118,4.6642067925391006e-08
11.513953993264469,1.4845259901541202e-11,5.499878039614199,8.9131764246666e-11,1.5341858309973084e-12,3.057475618547554e-12,2.6881445053949824e-11,2.3119694766260216e-07,0.0005497688030523378,2.8276721783798337e-05,0.02747195447516385,0.0013798554153404597,3.8466881143774284e-10,6.617941232817592e-12,2.6377764003256447e-11,0.000930091214416221,0.00012195996813830237,2.217461560020824e-05,2.2174861460549086e-05,371.31372204689103,1.7681473779372614,8.179780716230406e-08
13.894954943731374,2.6033879692340275e-11,5.4998225697455485,1.0752622762467201e-10,2.692000093760471e-12,5.366249220397064e-12,3.240686460434831e-11,2.7899150909574713e-07,0.0005497210084909047,4.1126237293042867e-05,0.027459152754216037,0.0013798255181871487,4.6429830132077274e-10,1.1616126243069083e-11,4.631132048660646e-11,0.0013535340760355973,0.0001774297322275474,3.2260046263907974e-05,3.2260566630369774e-05,371.41563831882115,1.7682108076023204,1.4348501173416316e-07
16.768329368110074,4.565572458422191e-11,5.499741824206089,1.297369771180109e-10,4.724779346199474e-12,9.421821648204111e-12,3.906274785841131e-11,3.366589599435193e-07,0.000549663341040057,5.98188967901935e-05,0.027440517762169735,0.0013797894393851179,5.606233909563696e-10,2.039712013395794e-11,8.134902735585697e-11,0.0019703693304056456,0.0002581751315419424,4.6941053438296556e-05,4.694215520406488e-05,371.559855313956,1.7683003808159894,2.5172417173392585e-07
20.235896477251565,8.00542546713794e-11,5.499624277398246,1.565611569966261e-10,8.294106164656915e-12,1.654807319538777e-11,4.707365033328301e-11,4.0623330709062314e-07,0.0005495937666929099,8.70063166031445e-05,0.027413399916703933,0.0013797459010084995,6.772594031828624e-10,3.5829710974676475e-11,1.4297216364634827e-10,0.002869261746168135,0.00037572174569353635,6.831320031882885e-05,6.831553377186384e-05,371.7648626951347,1.7684273173155582,4.416163899156795e-07
24.42053094548651,1.403183109213278e-10,5.499453148450482,1.889660967441325e-10,1.4561673821947205e-11,2.9074305583629524e-11,5.67036143988829e-11,4.901636291326249e-07,0.0005495098363708679,0.00012653520495352886,0.027373954958675593,0.0013796933610453529,8.186877599579938e-10,6.296415411841878e-11,2.5143290709070096e-10,0.00417982614800738,0.0005468504164350331,9.942755445780837e-05,9.943249770484373e-05,372.05743155795165,1.7686076354200972,7.746494396746693e-07
29.4705170255181,2.4578971300087926e-10,5.49920400779135,2.2812820249227809e-10,2.5566802636863735e-11,5.110121500126371e-11,6.825913832704986e-11,5.913958640461171e-07,0.0005494086041359544,0.00018397637352886745,0.027316615022335167,0.0013796299588685447,9.905225520924948e-10,1.1069823764541137e-10,4.4251385484630743e-10,0.006091851634266814,0.0007959906649173368,0.00014472585611810277,0.00014473632991536257,372.4763913910524,1.7688640582042845,1.3583961659646197e-06
