M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
Cu0 + CuII -> Cu0 + 2 CuI; 0.0035
Cu0 + RX -> Cu0 + CuI + R; 0.0001
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 + 0.0001*y_10*y_9 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.007*y_10*y_7 + 0.0001*y_10*y_9 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.0035*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = -0.0001*y_10*y_9 + 100000000.0*y_5*y_7 - 300*y_6*y_9
Cu0:,dy_10/dt = 0
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Cu0,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
7.196856730011519,4.624214693517144e-05,5.449303910565967,6.464636508967547e-08,1.3515660207952903e-06,1.7447795192825123e-06,1.4882599490412915e-08,0.0027033883877842124,0.0027988872065874467,0.020711305017183084,0.006737532181857802,0.0282,1.7163322219174457e-07,2.7156985849013765e-06,7.575004827478749e-06,0.17622247991809706,0.05068562709739237,0.009217470806187804,0.009260214552460752,210.69461010778883,1.420319763916327,0.18575735270738822
8.286427728546844,4.732334279157868e-05,5.44175920721323,6.736589324387891e-08,1.5431730869431084e-06,2.2202501940917757e-06,1.2057170798770187e-08,0.0027018042960964364,0.0028007910716171527,0.021984146508662133,0.005462467052007121,0.0282,1.9318693670497938e-07,3.2445464367846468e-06,1.0201802154259797e-05,0.21840834503414544,0.058227153251236584,0.010589235052140015,0.01064569996890324,228.03142749771726,1.4157936229005257,0.19384369551529215
9.54095476349994,4.8138544480921096e-05,5.433096469305311,6.985268507468792e-08,1.7536586291987216e-06,2.8117331666763625e-06,9.46905628229284e-09,0.0027003239202717006,0.0028026355354565614,0.023151743922219786,0.004292661086595385,0.0282,2.1792251917344764e-07,3.874338964711641e-06,1.3744365059031382e-05,0.27195203398734197,0.06688569406813888,0.012164278308125276,0.01223886865047513,248.73167415518745,1.4069053748543665,0.20187516161262742
10.985411419875584,4.872023120351099e-05,5.423151923823566,7.204567987556905e-08,1.9840494580728982e-06,3.5399758637658976e-06,7.175386242364208e-09,0.0026988854054682205,0.002804489023993504,0.024187411414379696,0.003254725132165066,0.0282,2.4629178536404357e-07,4.62705598528259e-06,1.85069939487702e-05,0.3401497581568519,0.07682469583470819,0.013972377486624377,0.014070910052458736,273.4612834732031,1.3934584604112468,0.21012448141496612
12.648552168552959,4.911145206545896e-05,5.411739093881038,7.389776640301476e-08,2.236005884882725e-06,4.426878013216249e-06,5.2186670057673704e-09,0.002697415727705506,0.002806432301352338,0.025071252998904503,0.002368466670685315,0.0282,2.788019443328045e-07,5.532416624467878e-06,2.48861668170372e-05,0.4272852038266152,0.08823020873356945,0.016047437476174927,0.016177591909217012,302.9900512069291,1.3755418616054071,0.2189135053700879
14.563484775012437,4.9358895254758744e-05,5.398646143031421,7.538202665286169e-08,2.5121324649690367e-06,5.4951325456589755e-06,3.620986677636381e-09,0.0026958384484906273,0.002808550923666874,0.025792749384357726,0.001644310319817894,0.0282,3.1602151841482543e-07,6.6313834252103726e-06,3.3395844587288996e-05,0.5389241752787602,0.10131351371904154,0.018427973994287136,0.018599884355709743,338.18884351510627,1.3535703009309554,0.2285865193128936
16.768329368110084,4.950621932277044e-05,5.383632983631772,7.64956048542901e-08,2.816237626891347e-06,6.768077755393535e-06,2.3805644811329215e-09,0.002694080861630843,0.0028109283134994715,0.026352365847781344,0.0010816966635888697,0.0282,3.585856305611059e-07,7.980783970487874e-06,4.470008001174425e-05,0.6822944707078892,0.1163139769186088,0.021157639339677816,0.021384670192836856,380.0176886555333,1.3282837152241123,0.2394858634925413
19.306977288832496,4.958928675562805e-05,5.366428144160047,7.72603398077887e-08,3.1534815641011772e-06,8.26991472820075e-06,1.4713936269890968e-09,0.0026920786350920225,0.0028136413472087726,0.02676157027202247,0.0006690683984679573,0.0282,4.072040034110275e-07,9.659084472369302e-06,5.965574048555102e-05,0.866774227356515,0.1335021338109836,0.02428579197090047,0.024585555091403043,429.5062415478905,1.300691367591012,0.2519367191859299
22.229964825261945,4.9634055775853316e-05,5.34672542115703,7.771852238927937e-08,3.5303841249018967e-06,1.0026362157899915e-05,8.475499147733251e-10,0.002689777077952107,0.0028167593261683786,0.027040985561699264,0.00038571870801186665,0.0282,4.626649699554615e-07,1.1773329501868574e-05,7.936895106201722e-05,1.1045173920836768,0.1531829738974278,0.02786810524417631,0.02826378953408804,487.7321684674996,1.2719608217971328,0.2662442335147456
25.59547922699536,4.965736483293388e-05,5.324180382986252,7.792547937593397e-08,3.9547038469937545e-06,1.2065701671982484e-05,4.5047491105922375e-10,0.0026871289011880938,0.002820346473395048,0.0272169675290015,0.00020521062302030724,0.0282,5.258416345611645e-07,1.4467208437874303e-05,0.0001052698671730792,1.4112509677716885,0.17569935409649495,0.03196720309340877,0.03248931117766107,555.8063460987668,1.2432719335403917,0.2827035346323367
