M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
Cu0 + CuII -> 2 CuI; 0.0035
Cu0 + RX -> CuI + R; 0.0001
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 + 0.0001*y_10*y_9 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 0.007*y_10*y_7 + 0.0001*y_10*y_9 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -0.0035*y_10*y_7 - 100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = -0.0001*y_10*y_9 + 100000000.0*y_5*y_7 - 300*y_6*y_9
Cu0:,dy_10/dt = -0.0035*y_10*y_7 - 0.0001*y_10*y_9
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,Cu0,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
10.985411419875584,5.306716613446666e-10,5.4997884594577435,2.6929720438881517e-10,2.184798091140326e-11,2.6579458411668343e-11,1.67075162159578e-10,2.892156110794682e-06,0.0005485544429700658,8.115540430900832e-05,0.027418843553640066,0.028198553400919157,7.03352515015295e-10,5.697383692044927e-11,1.386248414275103e-10,0.000891262228054368,0.00021153964331208045,3.8461916773904e-05,3.8462656452425024e-05,224.40223346553532,1.6163574929129678,2.2024674875614787e-06
12.648552168552959,8.079306421570107e-10,5.499719775673133,3.101821187561987e-10,3.3312254001156846e-11,4.0564081522500625e-11,1.9206852896435747e-10,3.3288776911823248e-06,0.0005483362734652627,0.00010743670940246898,0.02739256186597582,0.02819833484884357,8.11099319263093e-10,8.693513546264429e-11,2.1172111015107516e-10,0.0011815723809687516,0.0002802232171180506,5.0949877612247654e-05,5.0951175601320574e-05,224.5454667738727,1.6166012576504223,3.3540765789206136e-06
14.563484775012437,1.2297090071090724e-09,5.499628754802817,3.573569741572736e-10,5.0799304892118976e-11,6.193144600720476e-11,2.2072872505229524e-10,3.831178054776753e-06,0.0005480854022010636,0.00014221750635120945,0.027357780511191882,0.028198083419744176,9.358876940220175e-10,1.3269907719275016e-10,3.2355882327769737e-10,0.0015669449342370588,0.00037124380504407133,6.749912676052749e-05,6.750140492920284e-05,224.72896764354647,1.6169125872212526,5.106804378238548e-06
16.768329368110084,1.8708525468647654e-09,5.49950813234418,4.118168847261278e-10,7.747367576735701e-11,9.459524616470591e-11,2.535491056082589e-10,4.408722638060243e-06,0.0005477970401223229,0.00018822826377763423,0.027311768933339656,0.028197794237239632,1.080643469533368e-09,2.0262887721185418e-10,4.948225488309728e-10,0.0020787580647740438,0.0004918658777317836,8.943048287642212e-05,8.943448202045647e-05,224.96491380155223,1.6173112227995856,7.772788054405578e-06
19.306977288832496,2.8444132692930844e-09,5.499348286297883,4.747266218199517e-10,1.181602993363137e-10,1.4455688238673153e-10,2.910655731995807e-10,5.072509804826494e-06,0.0005474657538373513,0.0002490612938979216,0.027250934688622545,0.028197461736357836,1.248904386127275e-09,3.0953509432650837e-10,7.573765455730308e-10,0.002758907226900848,0.0006517113863077505,0.00011849340038497499,0.00011850042128251551,225.26931268099852,1.617822677024639,1.1824317576010405e-05
22.229964825261945,4.320556123359913e-09,5.499136477210906,5.474548237124378e-10,1.8021184393779963e-10,2.2103066727122654e-10,3.3384667295803447e-10,5.835007913056391e-06,0.0005470854081088713,0.0003294310150743741,0.027170563160794824,0.028197079583978085,1.4449966449192896e-09,4.730584361007102e-10,1.160437779820035e-09,0.003663440672244563,0.0008635197106075384,0.00015700414347156894,0.00015701646991222141,225.66321756375598,1.618479828157065,1.797392473396424e-05
25.59547922699536,6.5543983357679455e-09,5.4988558475671185,6.316171016696733e-10,2.7482646864414733e-10,3.381831447976528e-10,3.824741533091023e-10,6.710281266655097e-06,0.0005466491192078472,0.0004355036865977381,0.027064487793719904,0.02819664059952551,1.6742799965573472e-09,7.233409489375533e-10,1.7802428005471764e-09,0.004867529150773639,0.0011441482550238477,0.0002080277150693568,0.0002080493558357633,226.17443772639973,1.619324404935901,2.729305852366327e-05
29.4705170255181,9.925900519173873e-09,5.498484107596113,7.291307166485164e-10,4.190395658152481e-10,5.178384805195042e-10,4.3750918850569386e-10,7.714089386733017e-06,0.0005461492289351093,0.000575308663967779,0.02692467878877526,0.02819613668167817,1.943491789443923e-09,1.1067046002099049e-09,2.7354070511247337e-09,0.0064723102561359425,0.0015158866182899975,0.0002756168007067572,0.0002756547899975472,226.83962072429188,1.6204093707790814,4.138406198555684e-05
33.93221771895328,1.4996435805836336e-08,5.497991815238448,8.422845216106896e-10,6.38730080308619e-10,7.936938007352507e-10,4.994369413398155e-10,8.863934326855923e-06,0.0005455773149740475,0.0007592387556615332,0.026740742680063503,0.028195558750699106,2.261235470608458e-09,1.6944440552401135e-09,4.211411123962639e-09,0.008614402706644058,0.002008176594467072,0.0003651245021003356,0.0003651911762814349,227.70716966884854,1.6218007828224739,6.262746722769257e-05
39.06939937054617,2.2586560787821663e-08,5.4973401351990505,9.738279082789334e-10,9.731349063077169e-10,1.2179204810174058e-09,5.685804490766107e-10,1.0179020283668552e-05,0.0005449242588306726,0.0010006375669835946,0.02649933489507138,0.028194896720885668,2.638677043713496e-09,2.5964814251686536e-09,6.500086335789228e-09,0.011479273707711353,0.0026598530657107084,0.0004836117819908155,0.00048372875988477896,228.84113490615152,1.6235791435829603,9.452922420423341e-05
