time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
48489.79592,1.48E-05,2.440770495,1.03E-08,0.000370682,0.001820337,-1.04E-30,0.020973849,0.004026151,0.020973849,-3.79E-24,1.17E-06,0.015130025,0.151022539,298.829242,2.393075768,0.511845901,0.717124146,11506.37412,1.056901813,16.10456486
49959.18367,1.48E-05,2.40801735,1.02E-08,0.000373749,0.001835672,-2.55E-31,0.020940111,0.004059889,0.020940111,-8.46E-25,1.18E-06,0.015482548,0.154547769,306.7964726,2.421951158,0.51839653,0.73063418,11661.35308,1.057130495,16.23951423
51428.57143,1.48E-05,2.376067908,1.00E-08,0.000376747,0.001850662,2.14E-31,0.020907135,0.004092865,0.020907135,7.68E-25,1.18E-06,0.01583175,0.158039792,314.6784255,2.450059372,0.524786418,0.743990931,11812.74261,1.057360081,16.37141947
52897.95918,1.48E-05,2.344887924,9.93E-09,0.000379679,0.001865322,-6.93E-31,0.020874882,0.004125118,0.020874882,-2.59E-24,1.18E-06,0.016177717,0.161499454,322.4759218,2.477433726,0.531022415,0.757200305,11960.692,1.057590162,16.5004305
54367.34694,1.48E-05,2.314445342,9.83E-09,0.000382548,0.001879669,-7.28E-30,0.020843319,0.004156681,0.020843319,-2.77E-23,1.18E-06,0.016520527,0.164927561,330.1898129,2.504105389,0.537110932,0.770267847,12105.34117,1.057820344,16.62668626
55836.73469,1.48E-05,2.28471019,9.73E-09,0.000385358,0.001893718,-1.08E-29,0.020812411,0.004187589,0.020812411,-4.10E-23,1.18E-06,0.016860259,0.168324879,337.8209783,2.530103488,0.543057962,0.783198728,12246.82099,1.058050338,16.7503152
57306.12245,1.48E-05,2.255654359,9.63E-09,0.000388111,0.001907482,1.92E-30,0.020782131,0.004217869,0.020782131,7.61E-24,1.18E-06,0.017196985,0.171692142,345.370319,2.555455329,0.548869128,0.7959978,12385.25432,1.058279903,16.87143663
58775.5102,1.48E-05,2.227251335,9.54E-09,0.000390809,0.001920973,3.95E-30,0.02075245,0.00424755,0.02075245,1.50E-23,1.19E-06,0.017530776,0.17503005,352.8387461,2.580186653,0.554549733,0.808669672,12520.7572,1.058508734,16.9901622
60244.89796,1.48E-05,2.199476437,9.44E-09,0.000393455,0.001934204,-6.07E-30,0.020723342,0.004276658,0.020723342,-2.37E-23,1.19E-06,0.017861698,0.17833927,360.2271938,2.604321408,0.560104713,0.821218564,12653.43758,1.058736805,17.10659445
61714.28571,1.48E-05,2.172306316,9.36E-09,0.000396052,0.001947186,-5.79E-30,0.020694783,0.004305217,0.020694783,-2.13E-23,1.19E-06,0.018189815,0.181620442,367.5366045,2.627882238,0.565538737,0.833648491,12783.39773,1.058964033,17.22082955
63183.67347,1.48E-05,2.145719012,9.27E-09,0.0003986,0.001959927,7.61E-32,0.020666751,0.004333249,0.020666751,2.92E-25,1.19E-06,0.018515189,0.184874178,374.7679209,2.650890431,0.570856198,0.845963212,12910.73386,1.059190386,17.3329574
64653.06122,1.48E-05,2.119692465,9.19E-09,0.000401103,0.00197244,-1.01E-31,0.020639224,0.004360776,0.020639224,-3.86E-25,1.19E-06,0.018837881,0.188101099,381.922135,2.673367365,0.576061507,0.858166898,13035.54327,1.059414975,17.44306774
66122.44898,1.48E-05,2.094207919,9.11E-09,0.000403561,0.001984732,-6.79E-30,0.020612182,0.004387818,0.020612182,-2.58E-23,1.19E-06,0.019157946,0.191301744,389.0001567,2.6953312,0.581158416,0.870262512,13157.90793,1.05963836,17.55123589
67591.83673,1.48E-05,2.069248212,9.03E-09,0.000405977,0.001996811,-1.27E-30,0.020585608,0.004414392,0.020585608,-4.84E-24,1.19E-06,0.019475433,0.194476614,396.0028619,2.716798549,0.586150358,0.882252554,13277.90263,1.059861413,17.65753037
69061.22449,1.48E-05,2.044794302,8.95E-09,0.000408352,0.002008685,-9.87E-30,0.020559484,0.004440516,0.020559484,-3.76E-23,1.19E-06,0.019790398,0.19762627,402.9312618,2.737787837,0.59104114,0.894140714,13395.61162,1.060083256,17.76202671
70530.61224,1.48E-05,2.02082905,8.88E-09,0.000410687,0.002020363,-1.01E-29,0.020533793,0.004466207,0.020533793,-3.85E-23,1.19E-06,0.020102894,0.200751225,409.786317,2.758315638,0.59583419,0.905930064,13511.11047,1.060303654,17.86479239
72000,1.48E-05,1.997336684,8.81E-09,0.000412985,0.002031851,-2.19E-30,0.020508519,0.004491481,0.020508519,-8.35E-24,1.19E-06,0.020412967,0.20385196,416.5689609,2.778397195,0.600532663,0.917623277,13624.46853,1.06052271,17.96588894
