time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
4.498432669,1.02E-05,4.694855938,5.49E-08,7.22E-07,2.34E-07,1.89E-08,0.018788553,0.004711447,0.004298113,0.01919044,6.65E-08,8.34E-07,5.43E-07,0.007081612,0.005142619,0.001094481,0.001095081,119.7973294,1.150534361,0.048396257
5.428675439,1.19E-05,4.693734135,6.40E-08,1.11E-06,3.82E-07,1.81E-08,0.018786173,0.004713827,0.00508131,0.018404863,7.98E-08,1.31E-06,9.08E-07,0.009034342,0.006263564,0.001333163,0.001334052,123.4221464,1.169615927,0.058489693
6.551285569,1.37E-05,4.692356726,7.45E-08,1.72E-06,6.26E-07,1.72E-08,0.018783192,0.004716808,0.005982869,0.017500323,9.62E-08,2.09E-06,1.53E-06,0.011617904,0.007639565,0.001626229,0.001627552,127.8542213,1.190293635,0.071134676
7.906043211,1.58E-05,4.690662098,8.64E-08,2.68E-06,1.02E-06,1.62E-08,0.018779381,0.004720619,0.007010541,0.016468839,1.16E-07,3.35E-06,2.57E-06,0.015068937,0.009331867,0.001986788,0.001988764,133.2859047,1.212187896,0.087305406
9.540954763,1.80E-05,4.688573298,9.97E-08,4.17E-06,1.66E-06,1.50E-08,0.018774393,0.004725607,0.008168129,0.015306263,1.41E-07,5.41E-06,4.34E-06,0.019722786,0.011416816,0.002431213,0.002434173,139.9600167,1.234707797,0.108479709
11.51395399,2.03E-05,4.685994563,1.14E-07,6.49E-06,2.68E-06,1.37E-08,0.018767703,0.004732297,0.009453422,0.01401428,1.71E-07,8.78E-06,7.31E-06,0.026056897,0.013989169,0.00297988,0.002984329,148.1842713,1.257027468,0.136890556
13.89495494,2.27E-05,4.682807541,1.30E-07,1.01E-05,4.30E-06,1.23E-08,0.01875853,0.00474147,0.01085582,0.01260271,2.08E-07,1.43E-05,1.23E-05,0.034753177,0.017165635,0.00365797,0.003664677,158.3496943,1.278086158,0.17585907
16.76832937,2.50E-05,4.678867512,1.47E-07,1.55E-05,6.80E-06,1.08E-08,0.018745747,0.004754253,0.012353945,0.011091801,2.54E-07,2.33E-05,2.06E-05,0.046786699,0.021088277,0.004496274,0.004506413,170.9535765,1.296625107,0.230192696
20.23589648,2.72E-05,4.674000242,1.64E-07,2.36E-05,1.06E-05,9.25E-09,0.018727779,0.004772221,0.013913761,0.009514017,3.09E-07,3.79E-05,3.44E-05,0.06355006,0.025927121,0.005531863,0.005547221,186.6270482,1.311272391,0.306584931
24.42053095,2.93E-05,4.668000353,1.81E-07,3.54E-05,1.63E-05,7.65E-09,0.018702548,0.004797452,0.015488021,0.007914527,3.77E-07,6.14E-05,5.68E-05,0.087024133,0.031881029,0.006808436,0.006831719,206.1661988,1.320680896,0.413884283
29.47051703,3.11E-05,4.660632295,1.97E-07,5.24E-05,2.44E-05,6.09E-09,0.018667485,0.004832515,0.017018029,0.006349457,4.57E-07,9.87E-05,9.28E-05,0.120006236,0.03917577,0.008376107,0.008411384,230.5636666,1.323712543,0.563027722
35.56480306,3.25E-05,4.651634771,2.10E-07,7.58E-05,3.59E-05,4.63E-09,0.018619677,0.004880323,0.0184386,0.004881077,5.53E-07,0.000156791,0.00014938,0.166405464,0.048058505,0.010290474,0.010343787,261.0345732,1.319645085,0.766415558
42.9193426,3.37E-05,4.64072863,2.21E-07,0.000107297,5.13E-05,3.34E-09,0.018556171,0.004943829,0.019686354,0.003569818,6.64E-07,0.000245439,0.000236444,0.23161236,0.058788824,0.01261093,0.012691123,299.0271214,1.308359297,1.036616588
51.79474679,3.45E-05,4.627626708,2.27E-07,0.000148011,7.14E-05,2.27E-09,0.018474394,0.005025606,0.020710153,0.002464241,7.90E-07,0.00037751,0.000366914,0.322948762,0.071628077,0.015398573,0.015518362,346.2053141,1.290453637,1.384581403
62.50551925,3.51E-05,4.612042559,2.29E-07,0.000198836,9.66E-05,1.43E-09,0.018372562,0.005127438,0.021480878,0.001591684,9.33E-07,0.00056919,0.000557093,0.450206927,0.086830225,0.018714349,0.018891678,404.393079,1.267233702,1.817903329
75.43120063,3.55E-05,4.593694625,2.28E-07,0.000260122,0.000127134,8.36E-10,0.018249911,0.005250089,0.021996998,0.000952913,1.09E-06,0.000840046,0.000826656,0.626296765,0.104637585,0.022618165,0.022877879,475.4764443,1.240557157,2.339831087
91.0298178,3.57E-05,4.572303862,2.23E-07,0.000331741,0.000162846,4.45E-10,0.018106648,0.005393352,0.02228332,0.000523328,1.26E-06,0.001213053,0.00119865,0.86803227,0.125283177,0.027169391,0.027545303,561.2812591,1.212546514,2.949483047
109.8541142,3.58E-05,4.547585852,2.15E-07,0.000413238,0.000203536,2.14E-10,0.017943651,0.005556349,0.022382987,0.000260664,1.44E-06,0.001714803,0.001699684,1.197096065,0.148998223,0.032428542,0.032965999,663.4660885,1.185238721,3.643119663
132.5711366,3.59E-05,4.519240954,2.06E-07,0.00050403,0.0002489,9.22E-11,0.017762076,0.005737924,0.022345787,0.000116289,1.63E-06,0.002375978,0.00236041,1.641218582,0.176021031,0.038459371,0.039218459,783.4822528,1.160267327,4.415821343
159.985872,3.59E-05,4.486946599,1.96E-07,0.000603555,0.000298648,3.49E-11,0.017563035,0.005936965,0.022217204,4.58E-05,1.82E-06,0.003232077,0.003216261,2.235598335,0.206603239,0.045330511,0.046390083,922.6329039,1.138668244,5.262848218
193.0697729,3.59E-05,4.450354233,1.85E-07,0.000711356,0.000352542,1.15E-11,0.017347444,0.006152556,0.022031728,1.57E-05,2.03E-06,0.004324196,0.004308261,3.024579739,0.241011282,0.053116121,0.054578813,1082.210715,1.12085606,6.180300502
232.9951811,3.59E-05,4.409091041,1.74E-07,0.000827073,0.000410399,3.22E-12,0.01711602,0.00638398,0.021811407,4.61E-06,2.24E-06,0.005699713,0.005683728,4.06359977,0.279523282,0.061895523,0.063893954,1263.644274,1.106750783,7.165131664
