M + R -> Pn; 16000
M + Pn -> Pn; 16000
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 300
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 300
CuII + Pn -> CuI + PnX; 1e+08
CuIsour -> CuI + CuIsour; 1.4e-08
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -16000*y_1*y_2 - 16000*y_1*y_5
Pn:,dy_2/dt = 16000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 300*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -16000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 300*y_6*y_9
CuI:,dy_6/dt = 1.4e-8*y_10 + 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 300*y_6*y_8 - 300*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 300*y_6*y_8 + 300*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 300*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 300*y_6*y_9
CuIsour:,dy_10/dt = 0
M1_Pn:,dy_11/dt = 16000*y_1*y_2 + 16000*y_1*y_5 - 220000000.0*y_11*y_2 - 100000000.0*y_11*y_5 - 100000000.0*y_11*y_7 + 300*y_15*y_6
M1_PnD:,dy_12/dt = 20000000.0*y_11*y_2 + 100000000.0*y_11*y_5
M1_PnDPn:,dy_13/dt = 200000000.0*y_11*y_2
M2_total:,dy_14/dt = 32000*y_1*y_11 + 16000*y_1*y_2 + 16000*y_1*y_5 + 200000000.0*y_11**2
M1_PnX:,dy_15/dt = 100000000.0*y_11*y_7 - 300*y_15*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,CuIsour,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
75.43120063354615,4.770527460901298e-10,5.49947449769901,9.785725727977109e-11,1.969474329357949e-11,2.4001302628281548e-11,6.044217018368993e-11,1.0553337593475449e-06,0.0005500007030495222,0.0002013812625463944,0.027298618034404087,1.0,2.5627934537970686e-10,5.143039970834561e-11,1.2535352529473396e-10,0.0022170692209942393,0.0005255018679251064,9.55458729072363e-05,9.55504377049867e-05,224.65079779568282,1.6167742118331716,1.9809094350555357e-06
91.02981779915217,8.34931488177737e-10,5.499234792313786,1.1830786159810995e-10,3.4604773356261615e-11,4.227503936827263e-11,7.268198317884348e-11,1.2732723730030798e-06,0.0005500011450761851,0.0002927539569976018,0.027207244897926215,1.0,3.108547921373313e-10,9.054528797596021e-11,2.2123221397736202e-10,0.00323499066512894,0.0007652070635807023,0.00013912867022079146,0.0001391383495119437,225.02406614715431,1.6174000339133954,3.469404873711069e-06
109.85411419875584,1.4585429734557174e-09,5.498885816408361,1.4314822371249797e-10,6.079535538880544e-11,7.453484510540382e-11,8.725892482500775e-11,1.5360587836149765e-06,0.0005500018988151677,0.00042523717586490437,0.02707476092531993,1.0,3.7791029191147273e-10,1.595307646508704e-10,3.911762528779074e-10,0.004724344520906889,0.001114182663020409,0.00020257883484346579,0.0002025993567072197,225.56824292989683,1.6183019358857396,6.066938251110292e-06
132.57113655901082,2.5409561982863476e-09,5.498377835369756,1.734052116103612e-10,1.0678914236853256e-10,1.315987154937829e-10,1.0451298527592613e-10,1.8528070508576014e-06,0.0005500031888609687,0.0006169414887606435,0.026883055322378387,1.0,4.609287524752949e-10,2.813853170770686e-10,6.935452482913613e-10,0.006907997929277771,0.0016221631943835373,0.00029493902368070803,0.0002949825267486755,226.3619198053452,1.6195956817236885,1.0585246442336167e-05
159.98587196060572,4.409161031734135e-09,5.497638560565109,2.1040424136842788e-10,1.8752832277818153e-10,2.328226437727426e-10,1.2475138607681666e-10,2.2344047171789486e-06,0.0005500053974902697,0.0008935296105791269,0.026606464991930603,1.0,5.647929458280435e-10,4.970908955580997e-10,1.2344185617690756e-09,0.010119166054717271,0.0023614371385884915,0.00042935262452559186,0.00042944482275491245,227.5203586239642,1.6214380318640955,1.8408489607482914e-05
193.06977288832496,7.60722357181485e-09,5.496563007215074,2.5589023569350036e-10,3.2917556922702196e-10,4.1310119531942903e-10,1.4817198527817135e-10,2.6938101566838643e-06,0.0005500091666637527,0.001290898352539367,0.02620909248079688,1.0,6.965844004912188e-10,8.800845587206252e-10,2.2093343106746487e-09,0.014861412527850806,0.0034369889989229368,0.0006249077790774619,0.0006251031153258617,229.2128419557841,1.6240344259760957,3.186400556974811e-05
232.99518105153717,1.3016960972363599e-08,5.494998874836877,3.122097450869224e-10,5.774451607471314e-10,7.35975554396016e-10,1.7472969375223427e-10,3.2463792380407645e-06,0.0005500155532966809,0.0018582943816963114,0.02564169006500701,1.0,8.669261386984157e-10,1.5629161048570344e-09,3.985454333377072e-09,0.02190675578963167,0.00500111874782651,0.000909295484204103,0.0009097091441213987,231.6890654641074,1.6276368474881047,5.478675360691913e-05
281.1768697974228,2.201246385115008e-08,5.492725543735651,3.8258179100890164e-10,1.011949308450418e-09,1.3186562539422428e-09,2.0391916463140902e-10,3.910227950540797e-06,0.0005500262482266232,0.0026613041174645313,0.024838669634308846,1.0,1.0922592039423875e-09,2.786978847294484e-09,7.268738776194551e-09,0.03246113442170064,0.007274445116372707,0.0013226284116997728,0.001323503856668186,235.31970556149005,1.6325164549245834,9.331536606358176e-05
339.3221771895326,3.660572843335771e-08,5.48942400576626,4.714867392549752e-10,1.770578525908647e-09,2.38091285385769e-09,2.3444949694363603e-10,4.706666411750216e-06,0.0005500438440689033,0.0037832978212346546,0.023716658334696442,1.0,1.3987253223336759e-09,4.9966095084396705e-09,1.3457744665522303e-08,0.04845284058144014,0.010575974380661714,0.0019229080424981828,0.001924759203623769,240.65941251285037,1.6388827844083846,0.00015686593697084267
367.3469387755102,4.507487163555657e-08,5.487616155328222,5.160257300588009e-10,2.2407165513453206e-09,3.0643433035032038e-09,2.471878712460192e-10,5.088649654461805e-06,0.0005500542074883953,0.004376230222100933,0.023123715570410673,1.0,1.5619629011299783e-09,6.405704453989081e-09,1.7554690074875765e-08,0.0575426113998509,0.012383819149421878,0.0022516081221413938,0.0022541468031683893,243.61692954227613,1.6420232935365826,0.00019434281743239382
